"Demographic data (total population, age groups and race/ethnicity) by census tract were extracted from the 2018 American Community Survey.",,,,,,,,,,,,,,,
Census Tract , DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0 
Percentile Range",2018 Total Population,"California 
County",Children < 10 years (%) ,Pop 10-64 years (%),Elderly > 65 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Pacific Islander (%),Other/Multiple (%)
6037199000,64.62,97.97,95-100% (highest scores),5479,Los Angeles,12.0,77.9,10.1,67.9,4.9,0.7,0.0,23.9,0.0,2.7
6001407300,64.58,97.96,95-100% (highest scores),2440,Alameda ,7.4,86.3,6.3,58.4,15.8,7.9,0.1,13.9,0.4,3.5
6037199900,64.56,97.94,95-100% (highest scores),2799,Los Angeles,14.2,71.7,14.1,81.5,2.0,1.4,0.0,15.1,0.0,0.0
6037240010,64.52,97.93,95-100% (highest scores),3697,Los Angeles,13.1,81.1,5.7,75.4,0.2,24.0,0.0,0.0,0.0,0.5
6037242200,64.50,97.92,95-100% (highest scores),6183,Los Angeles,21.4,72.2,6.4,72.3,0.2,27.4,0.0,0.1,0.0,0.0
6037575802,64.48,97.91,95-100% (highest scores),5649,Los Angeles,20.6,74.8,4.6,73.5,11.5,6.8,0.3,5.0,1.8,1.0
6037541200,64.48,97.89,95-100% (highest scores),6589,Los Angeles,14.9,71.7,13.4,44.3,0.5,52.3,0.0,0.6,0.0,2.2
6037239602,64.47,97.88,95-100% (highest scores),3805,Los Angeles,17.9,79.5,2.6,80.4,0.7,18.1,0.3,0.4,0.0,0.0
6065042505,64.31,97.87,95-100% (highest scores),3670,Riverside ,23.6,71.0,5.4,88.0,5.5,5.5,0.0,0.8,0.2,0.0
6077001800,64.28,97.86,95-100% (highest scores),3926,San Joaquin,16.4,71.7,11.9,81.8,14.5,1.1,1.5,0.8,0.0,0.2
6037575402,64.16,97.84,95-100% (highest scores),4113,Los Angeles,18.4,77.0,4.5,83.7,3.5,6.3,0.0,5.0,0.0,1.5
6037553802,64.13,97.83,95-100% (highest scores),6467,Los Angeles,16.7,73.8,9.5,77.1,6.5,11.4,0.0,3.3,0.0,1.7
6037535101,64.13,97.82,95-100% (highest scores),7773,Los Angeles,19.6,71.9,8.5,89.6,0.3,8.8,0.0,0.1,0.0,1.2
6071012400,64.08,97.81,95-100% (highest scores),3282,San Bernardino,15.9,76.0,8.1,81.3,11.9,4.1,0.0,0.9,0.0,1.7
6037540502,64.08,97.79,95-100% (highest scores),6286,Los Angeles,19.5,76.2,4.3,84.6,3.3,11.6,0.0,0.4,0.1,0.0
6039000800,64.06,97.78,95-100% (highest scores),6395,Madera ,26.3,65.3,8.4,81.5,16.0,1.6,0.0,0.0,0.0,0.9
6071005500,63.98,97.77,95-100% (highest scores),8934,San Bernardino,21.6,73.6,4.8,74.6,9.5,13.7,0.3,0.8,0.0,1.1
6071004900,63.96,97.76,95-100% (highest scores),7635,San Bernardino,19.3,73.3,7.4,88.0,4.8,5.9,0.2,1.0,0.0,0.0
6037206200,63.96,97.74,95-100% (highest scores),3971,Los Angeles,3.1,71.8,25.1,17.0,13.6,19.9,0.1,46.3,0.0,3.1
